entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
1.0,-0.9296142391151603,0.3974146608061033,-0.12956211867959302,0.1097388847461577,-0.14142310931265567,0.2612542458574994,0.3177438852109652,0.17244519716230144,0.07845872596711723
-0.9296142391151603,1.0,-0.5191015897863618,0.30219063217178277,-0.08301048974391421,0.16913601466545497,-0.16774325269146975,-0.2655931028117723,-0.14628357436188658,-0.12282373069809013
0.3974146608061033,-0.5191015897863618,1.0,-0.8171077344316471,0.1996674209351189,-0.2893988790474909,-0.30105736022381163,-0.07803261641509901,-0.017027186899092887,-0.025808817240468386
-0.12956211867959302,0.30219063217178277,-0.8171077344316471,1.0,-0.1999263966806763,0.31560770891522405,0.3820042020053797,0.07006241737190207,-0.007192601717354124,-0.019073897249347778
0.1097388847461577,-0.08301048974391421,0.1996674209351189,-0.1999263966806763,1.0,-0.8781132254419364,-0.24543691484304628,-0.049149845996937266,0.5349793282877198,-0.0954433911105888
-0.14142310931265567,0.16913601466545497,-0.2893988790474909,0.31560770891522405,-0.8781132254419365,1.0,0.17594570472887228,-0.006846186905805762,-0.5136090909734131,-0.002599026620221075
0.2612542458574994,-0.16774325269146978,-0.30105736022381163,0.3820042020053797,-0.24543691484304625,0.1759457047288723,1.0,0.3813980586953103,0.0041074348091137206,0.2648854331994406
0.3177438852109652,-0.2655931028117723,-0.07803261641509905,0.07006241737190208,-0.04914984599693725,-0.006846186905805762,0.3813980586953103,1.0,-0.028200021605456992,0.057498286972901644
0.17244519716230142,-0.14628357436188658,-0.017027186899092894,-0.007192601717354117,0.5349793282877198,-0.5136090909734131,0.0041074348091137206,-0.028200021605457003,1.0,0.09669626958773543
0.07845872596711723,-0.12282373069809013,-0.025808817240468393,-0.019073897249347778,-0.0954433911105888,-0.002599026620221087,0.2648854331994406,0.05749828697290164,0.09669626958773543,1.0
