entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
0.0,0.0,8.064280553815258e-43,1.6737223804505614e-05,0.00027103334563355526,2.5713850381250168e-06,1.4134543936121068e-18,3.71791439554762e-27,9.022100637323212e-09,0.009331171992398787
0.0,0.0,1.0204744252501449e-76,1.3434442624356141e-24,0.005941288712061416,1.7382411989632547e-08,2.2820249961919492e-08,3.6244049384935683e-19,1.1403522758999906e-06,4.525742284551777e-05
8.064280553815258e-43,1.0204744252501449e-76,0.0,3.408213769673315e-264,2.5071802833212546e-11,1.314083277706468e-22,2.0353694893509724e-24,0.009723387480438897,0.573193049574404,0.3931153584006161
1.6737223804505614e-05,1.3434442624356141e-24,3.408213769673315e-264,0.0,2.3605680021524878e-11,8.525794223345456e-27,1.9553685122509973e-39,0.020300698839916843,0.8119139989378922,0.5279859020624121
0.00027103334563355526,0.005941288712061416,2.5071802833212546e-11,2.3605680021524878e-11,0.0,0.0,1.6337615356946759e-16,0.10373305546979535,3.0550105703021074e-82,0.0015518805964593691
2.5713850381250168e-06,1.7382411989632547e-08,1.314083277706468e-22,8.525794223345456e-27,0.0,0.0,4.446179463740394e-09,0.8208151792464561,7.119547372300999e-75,0.9314788652375785
1.4134543936121068e-18,2.2820249961919492e-08,2.0353694893509724e-24,1.9553685122509973e-39,1.6337615356946759e-16,4.4461794637400935e-09,0.0,2.6345146895714712e-39,0.8919099927533531,4.532983012222029e-19
3.71791439554762e-27,3.6244049384935683e-19,0.009723387480438897,0.020300698839916843,0.10373305546979535,0.8208151792464561,2.6345146895714712e-39,0.0,0.3507511076904021,0.05693568701139387
9.022100637323212e-09,1.1403522758999906e-06,0.573193049574404,0.8119139989378922,3.0550105703021074e-82,7.119547372300999e-75,0.8919099927533531,0.3507511076904021,0.0,0.001343409358668586
0.009331171992398787,4.525742284551777e-05,0.3931153584006161,0.5279859020624121,0.0015518805964593691,0.9314788652375785,4.532983012222029e-19,0.05693568701139387,0.001343409358668586,0.0
