metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
entropy_amplitude,genre,metal,Mann-Whitney U,87702.0,4.980522778143074e-36,0.7593179538615847,0.9332163871235353,0.8709370331160079,0.03707913181126457,0.047999162516238654,100,997,False,False,2.158226537195332e-34
entropy_amplitude,genre,disco,Mann-Whitney U,30658.0,2.097151236240317e-10,-0.3849949849548646,0.8515437012864584,0.8791288772320638,0.037995894704809983,0.05080576336297584,100,997,False,False,1.7039353794452574e-09
entropy_amplitude,genre,jazz,Mann-Whitney U,31508.0,1.2583312048128428e-09,-0.36794383149448345,0.8477657624876032,0.879507807903965,0.051958908418246186,0.04932304457553063,100,997,True,False,8.609634559245766e-09
entropy_amplitude,genre,rock,Mann-Whitney U,63970.0,2.942685437850168e-06,0.2832497492477432,0.8959010299064196,0.8746797971297608,0.03860844574201088,0.05103756222059564,100,997,False,False,1.3405809965275746e-05
entropy_amplitude,genre,classical,Mann-Whitney U,39885.0,0.003833225160534379,-0.17762886597938143,0.8522069585332281,0.8789817857512903,0.07514989835261078,0.04664558361472455,97,1000,False,False,0.00928732488165871
entropy_amplitude,genre,hip-hop,Mann-Whitney U,43459.0,0.03436094686183235,-0.12820461384152457,0.8655386859210025,0.8777251676398327,0.05092148242861626,0.050217294651623,100,997,False,False,0.06473801582664067
entropy_amplitude,genre,reggae,Mann-Whitney U,44503.0,0.07670121631919577,-0.1072617853560682,0.8736407914288726,0.8769125191435568,0.03114643147157849,0.05193377345106808,100,997,True,False,0.11730774260582882
entropy_amplitude,genre,acoustic,Mann-Whitney U,44534.0,0.07842612820654236,-0.10663991975927783,0.8711257900151149,0.8771647760556689,0.042020134192788265,0.051136773352614275,100,997,True,False,0.11855112403314544
entropy_amplitude,genre,pop,Mann-Whitney U,55029.0,0.08643087107121654,0.10389167502507522,0.8859759568512111,0.8756752909166423,0.034398222449148835,0.0516434171895703,100,997,True,False,0.12914957746273736
entropy_amplitude,genre,country,Mann-Whitney U,54404.0,0.13165595946853303,0.09135406218655968,0.8835761592361613,0.8759159927837485,0.03820678868418563,0.051416246844754515,100,997,False,False,0.19230645765066623
entropy_amplitude,mode,0,Mann-Whitney U,144160.0,0.2471008564878856,0.04210039324543141,0.8795682729362174,0.8749652407174431,0.046535820399778834,0.05236712930339194,393,704,False,False,0.33813801414131717
entropy_amplitude,mode,1,Mann-Whitney U,132512.0,0.2471008564878856,-0.04210039324543141,0.8749652407174431,0.8795682729362174,0.05236712930339194,0.046535820399778834,704,393,False,False,0.33813801414131717
entropy_amplitude,genre,blues,Mann-Whitney U,51348.0,0.6200337596919719,0.030050150451354063,0.8815335932565245,0.8761208639953472,0.03840558735897125,0.05142743502082743,100,997,True,False,0.707056041754003
