metric,genre,jsd,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2
entropy_amplitude,acoustic,0.24375232855752146,0.8711257900151149,0.8771647760556689,0.042231823866018835,0.0511624379832652,100,997
entropy_amplitude,blues,0.2055650906976163,0.8815335932565245,0.8761208639953472,0.03859906761300728,0.05145324552936367,100,997
entropy_amplitude,country,0.24062903441103897,0.8835761592361613,0.8759159927837485,0.03839926742722431,0.05144205173814558,100,997
entropy_amplitude,classical,0.30366240832753133,0.8522069585332281,0.8789817857512903,0.07554029006193413,0.046668923913215275,97,1000
entropy_amplitude,hip-hop,0.31924628609722416,0.8655386859210025,0.8777251676398327,0.05117801544981684,0.050242497812382395,100,997
entropy_amplitude,jazz,0.33232963928714776,0.8477657624876032,0.879507807903965,0.05222066779992763,0.04934779892819346,100,997
entropy_amplitude,metal,0.6437064262545448,0.9332163871235353,0.8709370331160079,0.0372659296273017,0.04802325243620756,100,997
entropy_amplitude,pop,0.24769051799404943,0.8859759568512111,0.8756752909166423,0.034571514339092925,0.05166933609568865,100,997
entropy_amplitude,reggae,0.29593825792874157,0.8736407914288726,0.8769125191435568,0.03130334143931601,0.0519598380817936,100,997
entropy_amplitude,rock,0.2920741070899067,0.8959010299064196,0.8746797971297608,0.038802947959104446,0.05106317705895634,100,997
entropy_amplitude,disco,0.412757132931874,0.8515437012864584,0.8791288772320638,0.03818731100294129,0.05083126186564159,100,997
complexity_amplitude,acoustic,0.2737009703251735,0.21518465716395052,0.21160182169023362,0.047644069089207736,0.06219396086576277,100,997
complexity_amplitude,blues,0.24950883442256808,0.20690112002839062,0.21243266794254653,0.051549940294127364,0.06187049019257234,100,997
complexity_amplitude,country,0.31576941205383424,0.20354110569784165,0.2127696804130128,0.04601990088125648,0.06226242594437228,100,997
complexity_amplitude,classical,0.33603034031890033,0.2309211724727884,0.21008612821169748,0.07235873794336022,0.05950655421568349,97,1000
complexity_amplitude,hip-hop,0.274991367918436,0.22427647569550946,0.21068990408425978,0.04858990614394029,0.06199490809701876,100,997
complexity_amplitude,jazz,0.34315158438471566,0.24082554325476607,0.2090300176690886,0.05333032547444695,0.060991314619769206,100,997
complexity_amplitude,metal,0.6372865713551162,0.12875748637214682,0.22027054493916073,0.05336426690360918,0.055205525027423805,100,997
complexity_amplitude,pop,0.2742143082317504,0.20296135767049173,0.21282782966349925,0.046916463990977784,0.06218694453132156,100,997
complexity_amplitude,reggae,0.3148334698603582,0.22972620514426392,0.21014329130103465,0.04312160889864965,0.06225004443436145,100,997
complexity_amplitude,rock,0.32443895466914846,0.18946285689926234,0.2141817414760599,0.052623757404623946,0.06135042983423153,100,997
complexity_amplitude,disco,0.4561832180140348,0.2592244741903515,0.20718458828738495,0.05075446161700594,0.059930977857216974,100,997
entropy_flux,acoustic,0.32797666266820563,0.7006735081995126,0.6830287045677423,0.03295308090484061,0.042511105798544856,100,997
entropy_flux,blues,0.26691295287866146,0.6707618164992486,0.6860288742468059,0.03369697902330318,0.04253712146089016,100,997
entropy_flux,country,0.26502265696831273,0.6856237600953365,0.684538207888121,0.03665482939775898,0.04254273337954357,100,997
entropy_flux,classical,0.48864772746318774,0.7241216581328597,0.680807168435103,0.04636999755723601,0.03956032789514974,97,1000
entropy_flux,hip-hop,0.29308298513709047,0.6835619065256374,0.6847450136624139,0.03550068166411858,0.04263967181673081,100,997
entropy_flux,jazz,0.24582318473664747,0.6871478247235787,0.6843853428301229,0.04028164623876102,0.04220852977038714,100,997
entropy_flux,metal,0.287953146701349,0.7037548957632674,0.682719638613504,0.04564040772705953,0.041183904422695275,100,997
entropy_flux,pop,0.31020668953318653,0.6913404346201917,0.6839648202727896,0.030035212353481753,0.04299893111108362,100,997
entropy_flux,reggae,0.4407654369406577,0.6595548123124305,0.6871529468833975,0.028461986448190046,0.04234995729006964,100,997
entropy_flux,rock,0.2724271689551872,0.6764515567075297,0.6854581881677406,0.03543835756093264,0.042559449155595945,100,997
entropy_flux,disco,0.4551255400301592,0.6492011689042964,0.6881914266635514,0.039909506345084673,0.04057710991454534,100,997
complexity_flux,acoustic,0.29499491701493813,0.3639224239433229,0.3721031090290222,0.02418436690755465,0.025546810950203457,100,997
complexity_flux,blues,0.25817864429012705,0.373406959040736,0.3711518015969848,0.01857651404270137,0.02611737783278336,100,997
complexity_flux,country,0.28057956247549487,0.3698969294887879,0.37150386072957736,0.0235022158936216,0.025724385317406322,100,997
complexity_flux,classical,0.47244324951033545,0.3464993201504972,0.3737686080416692,0.03205564101854066,0.023455622229875323,97,1000
complexity_flux,hip-hop,0.3064089199310466,0.37600189311537974,0.37089152736682995,0.022164628868359338,0.025800544895936865,100,997
complexity_flux,jazz,0.3906099296364403,0.35914642848887396,0.3725821456844333,0.02045247966573695,0.025667717519472402,100,997
complexity_flux,metal,0.2439909175900481,0.36627599888088425,0.3718670433381936,0.02628240043814973,0.025404124337847663,100,997
complexity_flux,pop,0.24308320767914518,0.37210407831736675,0.3712824817096597,0.021842736362675873,0.02587271926952602,100,997
complexity_flux,reggae,0.49899873075275725,0.3915385682413613,0.3693331848266111,0.015616298255385208,0.025448953761557716,100,997
complexity_flux,rock,0.2489883136880138,0.37623765872757486,0.3708678798630992,0.02160369829495077,0.025842994183616113,100,997
complexity_flux,disco,0.4376837670487044,0.3891551421724042,0.3695722446128656,0.01798202722275605,0.025490166813054823,100,997
entropy_harmony,acoustic,0.2810626583135068,0.8419670279083465,0.8179524953448771,0.05156685890624332,0.06271615463196492,100,997
