track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
5oibpY8nzNR2uCPKMzLeK0,Kodak Black,Walk in the Park Rap,Calling My Spirit,0,152000,False,0.918,0.362,1,-9.943,1,0.0905,0.116,0.0,0.263,0.744,120.007,4,hip-hop,0.7509918834714073,0.3129975222951744,0.6803829234153908,0.3754848285647605,0.7298507616097254,0.3025831420547695,0.7118213989459684,0.4441208539653531,1.657453086168196,1.8557614605324733
7GNRUsU3M4XNDDB9xle5Dz,PSY;SUGA,PSY 9th,That That (prod. & feat. SUGA of BTS),81,174646,False,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,4,hip-hop,0.8405700105483733,0.2629295386865189,0.6398940454171177,0.397670592068278,0.824249780522096,0.2612832040890155,0.7178950996223866,0.4313528776122929,1.796183105055394,1.866322302546349
2Racq7HrXkYvF8w9zXvlTp,Hiphop Tamizha,Kathakali (Original Motion Picture Soundtrack),Azhage,59,218158,False,0.717,0.79,7,-6.418,0,0.0342,0.308,0.0,0.0871,0.536,128.123,1,hip-hop,0.879226869003526,0.2382205827503689,0.6338262200613105,0.4046683117860468,0.7604463886195295,0.2992378426532823,0.750067403751512,0.4273382823789395,1.7317172542205297,1.8597661593810997
6Ozx2ngGtXrqznTKhKBlrT,Ajay-Atul;Ajay Gogavale,Agneepath (Original Motion Picture Soundtrack),Deva Shree Ganesha,63,356826,False,0.34,0.96,1,-5.427,1,0.0802,0.238,4.32e-06,0.0378,0.475,150.04,4,hip-hop,0.922767576240312,0.1515873152910469,0.7094780124522425,0.3683575695924381,0.872557375176299,0.2159282287269473,0.7459348567405069,0.42598741456922,1.792714164407755,1.852522025195013
3ndWKeYZ8IcrsIdFy3Gq2l,Moneybagg Yo;Pooh Shiesty;Lil Durk;EST Gee,Energy Hip Hop,Switches & Dracs,0,168620,True,0.727,0.647,11,-7.383,0,0.28,0.0329,0.0,0.246,0.529,159.959,4,hip-hop,0.8409115451158051,0.2463232924929852,0.6670700648833445,0.4055919849200583,0.7498703076157283,0.2823065491299659,0.7605397366297211,0.4290724127534642,1.6755830901799298,1.85938502104071
7iL6o9tox1zgHpKUfh9vuC,50 Cent,Get Rich Or Die Tryin',In Da Club,83,193466,True,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,4,hip-hop,0.8430118836764197,0.2906317914629882,0.6161834555765678,0.4046885865378709,0.7297888536400765,0.3249809092082109,0.7296686068740434,0.4224886783889297,1.754106336854487,1.846825208417144
5RgN2LdqCGnxztU1cTNJjf,Kodak Black,New Rap 20s,Super Gremlin,0,200547,True,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4,hip-hop,0.7767941782162978,0.2730490848699413,0.666965575100082,0.3910544459954431,0.5983108929892104,0.3291428421503632,0.8323912908459854,0.3628160164495402,1.6018447280768842,1.857316072144489
6SPLYHHBN0dKGaoD2Jcccs,AP Dhillon,Two Hearts Never Break The Same,Hills,68,159942,False,0.779,0.331,1,-10.115,1,0.0794,0.411,0.00577,0.11,0.182,96.012,4,hip-hop,0.8904302580094435,0.192979323087957,0.8180099936532736,0.2666135301281622,0.6003692831398082,0.3529821080239546,0.7597795062718561,0.4228243662221527,1.4718105144470512,1.8497411691820185
5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI;Justin Bieber,F*CK LOVE 3: OVER YOU,STAY (with Justin Bieber),86,141805,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,hip-hop,0.8945256316973733,0.2139600454882136,0.6907903578444904,0.3850830462435303,0.8240317754399061,0.2854998286423033,0.7139828136972898,0.4319532879193198,1.6975097682584863,1.8644782913495792
24MVilhtBOg06UxlnNOonf,Vilen,Bekaar,Bekaar,58,197307,False,0.605,0.552,10,-7.875,1,0.0296,0.479,0.0,0.0916,0.313,83.958,4,hip-hop,0.8242905191069891,0.2017815969120172,0.6575123027379567,0.3592206324432831,0.8044581744950392,0.2252865712878016,0.7551574417289244,0.4203734169169183,1.7224682353565244,1.891582927735142
2wHTMZwkLbpM6LNkUBs2Xt,Sidhu Moose Wala,Moosetape,Calaboose,60,245200,False,0.747,0.758,11,-6.289,0,0.0742,0.0568,0.0,0.331,0.56,149.776,4,hip-hop,0.9094299521240716,0.1708825519698675,0.6691984575071497,0.3881766846974407,0.8747418649767117,0.1848448991459589,0.7553515364224089,0.4257778396024744,1.7797624057102142,1.860476874084459
6pW1AQhs75Cc5WTgoRQ8vi,Stephen Zechariah;Kaushik Iyer,Saaral Mazhaiyaa,Saaral Mazhaiyaa,58,279066,False,0.368,0.571,4,-7.475,0,0.0451,0.557,0.0,0.889,0.286,99.916,4,hip-hop,0.9088141367801016,0.1857518208268913,0.6974194463249561,0.3714103193697208,0.8111126573246137,0.2701818698749424,0.7132280899997019,0.4349306721283661,1.7132983108794178,1.8609746481431364
7xHG6LdShPMXeL5SllDprP,King,The Carnival,IICONIC,63,178339,True,0.549,0.751,6,-4.398,0,0.179,0.637,0.0,0.113,0.164,138.504,4,hip-hop,0.9605384910604184,0.078446037684838,0.7564564992268267,0.3385950486762912,0.7789782727975829,0.2518935492021603,0.7624479096951696,0.4128600824719481,1.694774408574348,1.8593269435238304
6ElANRiS4S25oIn361o8Ye,Sidhu Moose Wala,Pbx 1,Trend,59,221818,False,0.626,0.725,7,-5.482,1,0.207,0.0755,0.0,0.245,0.556,179.953,4,hip-hop,0.9199800867961996,0.1633847749294923,0.674103453669356,0.3894588328532226,0.8893290373300664,0.1878609078322248,0.7691399688616154,0.4186226195738844,1.7514102080527418,1.8586364510440017
