metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
entropy_harmony,genre,classical,Mann-Whitney U,78002.0,4.0573385513546966e-23,0.6082886597938144,0.87860712878706,0.8144704491573324,0.047437989339257164,0.06042545966154832,97,1000,True,False,1.3186350291902763e-21
entropy_harmony,genre,metal,Mann-Whitney U,35352.0,1.587202548706997e-06,-0.2908324974924774,0.7927164054039644,0.8228923772410038,0.06336610584941167,0.06132085021759853,100,997,False,False,7.642086345626281e-06
entropy_harmony,genre,hip-hop,Mann-Whitney U,35740.0,2.9905268384076665e-06,-0.28304914744232695,0.7815585503684735,0.8240115201733499,0.08801805032817339,0.05748608684202279,100,997,False,False,1.3405809965275746e-05
entropy_harmony,genre,acoustic,Mann-Whitney U,62688.0,2.134586952322572e-05,0.2575325977933801,0.8419670279083465,0.8179524953448771,0.05130837678276172,0.0626846943066184,100,997,False,False,8.16165599417454e-05
entropy_harmony,genre,reggae,Mann-Whitney U,39886.0,0.000971047869702531,-0.19987963891675026,0.8058462604023839,0.8215754409322353,0.04718389742655742,0.06324660821410386,100,997,True,False,0.0026299213137776878
entropy_harmony,genre,country,Mann-Whitney U,58201.0,0.005696810799751385,0.16752256770310933,0.8380204479423781,0.8183483408780735,0.04478471346146449,0.06332093325177751,100,997,True,False,0.012833657035199824
entropy_harmony,genre,disco,Mann-Whitney U,41636.0,0.006540411848957004,-0.16477432296890673,0.8079933234627512,0.8213600885691095,0.05184565652426719,0.06292928751000675,100,997,True,False,0.014411076955328991
entropy_harmony,mode,0,Mann-Whitney U,119721.0,0.0002159144554098111,-0.13456367106176267,0.8125047853592873,0.8244047727322119,0.05864239932299493,0.0635819477789914,393,704,False,False,0.000701721980081886
entropy_harmony,mode,1,Mann-Whitney U,156951.0,0.0002159144554098111,0.13456367106176267,0.8244047727322119,0.8125047853592873,0.0635819477789914,0.05864239932299493,704,393,False,False,0.000701721980081886
entropy_harmony,genre,rock,Mann-Whitney U,46908.0,0.33011023640215786,-0.059017051153460384,0.8172152229290615,0.8204351237279549,0.05158468724454417,0.06307253479567497,100,997,True,False,0.42489436368594574
entropy_harmony,genre,pop,Mann-Whitney U,47181.0,0.3769633963391994,-0.05354062186559679,0.8143897837357044,0.8207185178295956,0.05869321295870791,0.062424445597720216,100,997,False,False,0.47120424542399925
entropy_harmony,genre,blues,Mann-Whitney U,50907.0,0.7264938896348079,0.021203610832497492,0.8214337116799147,0.8200120054981803,0.05345349078876937,0.06292230809992999,100,997,False,False,0.7836848303040357
entropy_harmony,genre,jazz,Mann-Whitney U,50499.0,0.829993583125739,0.013019057171514544,0.8235637577403458,0.8197983599555091,0.055786367502368116,0.06271002838330426,100,997,True,False,0.8495997307586305
