metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
entropy_flux,genre,classical,Mann-Whitney U,74196.0,6.407526303602969e-18,0.5298144329896908,0.7241216581328597,0.680807168435103,0.046130357722747053,0.03954054278368711,97,1000,True,False,1.1899691706691228e-16
entropy_flux,genre,disco,Mann-Whitney U,23866.0,7.779841037811699e-18,-0.5212437311935807,0.6492011689042964,0.6881914266635514,0.03970945743448619,0.04055675520550706,100,997,True,False,1.2642241686444009e-16
entropy_flux,genre,reggae,Mann-Whitney U,28434.0,1.33734935425807e-12,-0.4296088264794383,0.6595548123124305,0.6871529468833975,0.028319318951047962,0.04232871326701727,100,997,False,False,1.2418244003824935e-11
entropy_flux,genre,acoustic,Mann-Whitney U,63794.0,3.902491630274732e-06,0.27971915747241727,0.7006735081995126,0.6830287045677423,0.03278790151427445,0.042489780938512994,100,997,True,False,1.691079706452384e-05
entropy_flux,genre,metal,Mann-Whitney U,63264.0,8.9528079754846e-06,0.2690872617853561,0.7037548957632674,0.682719638613504,0.04541163231284814,0.041163245327127604,100,997,True,False,3.532294644398605e-05
entropy_flux,genre,blues,Mann-Whitney U,39161.0,0.0004019176880429526,-0.21442326980942827,0.6707618164992486,0.6860288742468059,0.03352807079663196,0.04251578355061301,100,997,True,False,0.0011874840783087236
entropy_flux,genre,pop,Mann-Whitney U,56870.0,0.02012207057182644,0.1408224674022066,0.6913404346201917,0.6839648202727896,0.0298846589625439,0.04297736154307923,100,997,True,False,0.04087295584902245
entropy_flux,genre,rock,Mann-Whitney U,43906.0,0.04908938866349528,-0.11923771313941825,0.6764515567075297,0.6854581881677406,0.03526072056482037,0.042538100045069936,100,997,True,False,0.08623811521965387
entropy_flux,genre,jazz,Mann-Whitney U,52654.0,0.3533028600788475,0.056248746238716146,0.6871478247235787,0.6843853428301229,0.040079731953540344,0.04218735669166814,100,997,True,False,0.4502879589240213
entropy_flux,genre,country,Mann-Whitney U,51832.0,0.511792906740139,0.0397592778335005,0.6856237600953365,0.684538207888121,0.0364710947600566,0.042521392654157816,100,997,True,False,0.6218044661328792
entropy_flux,genre,hip-hop,Mann-Whitney U,49023.0,0.7843587930271121,-0.01658976930792377,0.6835619065256374,0.6847450136624139,0.03532273226451932,0.04261828246408482,100,997,False,False,0.828997098321338
entropy_flux,mode,1,Mann-Whitney U,139496.0,0.8177417420247141,0.008385380522785103,0.6850644704775726,0.683871710070685,0.041939066125771265,0.042117966026791194,704,393,False,True,0.843701797327086
entropy_flux,mode,0,Mann-Whitney U,137176.0,0.8177417420247141,-0.008385380522785103,0.683871710070685,0.6850644704775726,0.042117966026791194,0.041939066125771265,393,704,True,False,0.843701797327086
