entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
0.0,0.0,1.3488384838245626e-45,2.0363285526434555e-06,0.022246959724340574,0.00024561580388126654,0.005602317435335169,1.3273167719711542e-11,2.2323024142129685e-07,0.0021730334919079415
0.0,0.0,9.130132988374147e-68,1.7330908347871412e-20,0.005932202635954277,4.560541901032601e-07,0.2010587504539894,8.431752758555166e-12,1.709164573582281e-06,2.9216573765908492e-05
1.3488384838245626e-45,9.130132988374147e-68,0.0,4.058883243036396e-231,2.6238204314660966e-14,3.411744344690337e-18,2.277941583821607e-20,0.7023534746971299,0.6441275852721764,0.6643910970607505
2.0363285526434555e-06,1.7330908347871412e-20,4.058883243036396e-231,0.0,1.0771425995333563e-12,9.481450859894708e-20,8.140599058189987e-39,0.3448982127915339,0.5610094081337486,0.2930895441864805
0.022246959724340574,0.005932202635954277,2.6238204314660966e-14,1.0771425995333563e-12,0.0,0.0,1.473147662865308e-14,0.7520125910796494,1.2530959532869238e-74,0.011633156498375131
0.00024561580388126654,4.560541901032601e-07,3.411744344690337e-18,9.481450859894708e-20,0.0,0.0,3.2813143783540476e-07,0.9533700481427463,2.5065577082801852e-68,0.8419606958901018
0.005602317435335169,0.2010587504539894,2.277941583821607e-20,8.140599058189987e-39,1.473147662865308e-14,3.2813143783540476e-07,0.0,8.441977582142497e-32,0.5240566458759497,7.119490022278168e-24
1.3273167719711542e-11,8.431752758555166e-12,0.7023534746971299,0.3448982127915339,0.7520125910796494,0.9533700481427463,8.441977582142497e-32,0.0,0.6892587322136825,0.3230285436166652
2.2323024142129685e-07,1.7091645735822841e-06,0.6441275852721766,0.5610094081337486,1.2530959532869238e-74,2.5065577082801852e-68,0.5240566458759497,0.6892587322136825,0.0,0.014791678024077704
0.0021730334919079415,2.9216573765908492e-05,0.6643910970607505,0.2930895441864805,0.011633156498375131,0.8419606958901018,7.119490022278168e-24,0.3230285436166652,0.014791678024077704,0.0
