entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
1.0,-0.9709478760290279,0.40947448846584006,-0.14283405177384864,0.06901980699870829,-0.11049571811525398,0.08358746916408824,0.20238345715056713,0.15558653205239897,0.09246181082002047
-0.9709478760290279,1.0,-0.49144153222429793,0.2750080631311205,-0.08302556449451143,0.15158021576163053,-0.038631768674348255,-0.2042981107705302,-0.14388450095667576,-0.12583010465131347
0.40947448846584006,-0.49144153222429793,1.0,-0.7861886557386589,0.22718010042282522,-0.258401224049729,-0.27417655039082334,-0.011550646955516993,-0.013962148467542748,0.013113592059349644
-0.14283405177384864,0.2750080631311205,-0.7861886557386589,1.0,-0.21275436881766868,0.2697914469312032,0.37909259495118347,-0.0285443363495759,-0.017570774328720274,0.03177146594568839
0.06901980699870829,-0.08302556449451143,0.22718010042282522,-0.21275436881766868,1.0,-0.9348198855150143,-0.2293345925102851,-0.009551047704371134,0.5128699755786764,-0.07615388578779891
-0.11049571811525398,0.15158021576163053,-0.258401224049729,0.2697914469312032,-0.9348198855150143,1.0,0.15343908432663705,-0.001767519060397512,-0.4932529114393639,-0.006026749379320248
0.08358746916408824,-0.038631768674348255,-0.27417655039082334,0.37909259495118347,-0.2293345925102851,0.15343908432663705,1.0,-0.34383764009274176,0.019255847499439566,0.2976108009465634
0.20238345715056713,-0.2042981107705302,-0.011550646955516993,-0.0285443363495759,-0.009551047704371134,-0.001767519060397512,-0.34383764009274176,1.0,-0.0120860817030671,-0.029865070545676577
0.15558653205239897,-0.14388450095667574,-0.013962148467542746,-0.017570774328720274,0.5128699755786764,-0.49325291143936395,0.019255847499439566,-0.012086081703067101,1.0,0.07357611555361968
0.09246181082002047,-0.12583010465131347,0.013113592059349645,0.03177146594568839,-0.07615388578779891,-0.006026749379320248,0.2976108009465634,-0.029865070545676577,0.07357611555361968,1.0
